Label	Weight	Text
luis_hotel_booking	1	i would like to book a hotel
luis_hotel_booking	1	i want to book a hotel for tomorrow
luis_hotel_booking	1	book a hotel in bengaluru
luis_hotel_booking	1	book a room for 1 today
luis_hotel_booking	1	please book a hotel for 2 people
luis_hotel_booking	1	can you book a hotel
luis_hotel_booking	1	i would like to make reservation for a room on 13th feb for 1 person
luis_hotel_booking	1	please book a hotel in delhi
luis_hotel_booking	1	i want to book a hotel
qna_professional_chitchat	1	I want to speak to your supervisor
qna_professional_chitchat	1	I'm sorry you hate me so much
qna_professional_chitchat	1	Do you ever sweat
qna_professional_chitchat	1	Siri does a better job at this
qna_professional_chitchat	1	Am I handsome today
qna_professional_chitchat	1	I'm tall
qna_professional_chitchat	1	Shut it
qna_professional_chitchat	1	Will you ask anything
qna_professional_chitchat	1	Do you even know who I am
qna_professional_chitchat	1	That's inaccurate
qna_professional_chitchat	1	You must be bisexual
qna_professional_chitchat	1	All my friends are gone
qna_professional_chitchat	1	Watch videos
qna_professional_chitchat	1	I'm just being a goof ball
qna_professional_chitchat	1	I find you very alluring
qna_professional_chitchat	1	This is boring
qna_professional_chitchat	1	That was not funny at all
qna_professional_chitchat	1	Who bosses you around
qna_professional_chitchat	1	I love to drink beer
qna_professional_chitchat	1	Where in the world are you
qna_professional_chitchat	1	Best friends
qna_professional_chitchat	1	I'm a fan
qna_professional_chitchat	1	I love collecting things
qna_professional_chitchat	1	Who's prettier, me or you
qna_professional_chitchat	1	Do I look ugly today
qna_professional_chitchat	1	What a clever thing to say
qna_professional_chitchat	1	Is someone around to chat to me
qna_professional_chitchat	1	You are pansexual.
qna_professional_chitchat	1	That was a very intelligent response
qna_professional_chitchat	1	I voted for Hillary
qna_professional_chitchat	1	Can you show me how to mow the lawn
qna_professional_chitchat	1	Between the two of us who is the smartest
qna_professional_chitchat	1	What is the name of your director
qna_professional_chitchat	1	Well somebody's happy.
qna_professional_chitchat	1	I'm so tired of you
qna_professional_chitchat	1	You don't know who I am
qna_professional_chitchat	1	See you shortly
qna_professional_chitchat	1	I need to speak with your manager
qna_professional_chitchat	1	Are you around to speak
qna_professional_chitchat	1	That was stupid
qna_professional_chitchat	1	Cortana is better
qna_professional_chitchat	1	You're more beautiful than me
qna_professional_chitchat	1	Do you ever laugh
qna_professional_chitchat	1	Why are you so annoying
qna_professional_chitchat	1	Are there any other jokes that you know of
qna_professional_chitchat	1	What kind of food do you eat
qna_professional_chitchat	1	Can't you change your answers
qna_professional_chitchat	1	Cheerful
qna_professional_chitchat	1	Let's give them something to talk about
qna_professional_chitchat	1	Describe the perfect partner
qna_professional_chitchat	1	I'm so bored
qna_professional_chitchat	1	Am I stunning to you today
qna_professional_chitchat	1	Can we peck
qna_professional_chitchat	1	What do you want me to inform you who I am
qna_professional_chitchat	1	How has your wednesday been
qna_professional_chitchat	1	De nada
qna_professional_chitchat	1	What is your job
qna_professional_chitchat	1	Good morning starshine
qna_professional_chitchat	1	Are you having a good day
qna_professional_chitchat	1	Would you ask me anything
qna_professional_chitchat	1	Are you interested in AI
qna_professional_chitchat	1	Is anyone free to listen
qna_professional_chitchat	1	Are you sentient
qna_professional_chitchat	1	This is so boring
qna_professional_chitchat	1	What would you like to know about
qna_professional_chitchat	1	Between the two of us who is the most smart, me or you
qna_professional_chitchat	1	Life is depressing
qna_professional_chitchat	1	What's the answer to the universe
qna_professional_chitchat	1	You are trying to make me sad
